seed,mechanics,arm,order,useful,first_action,ticks_to_first_action,attempts_to_useful,motor_participations,evidence,consequence_admitted,consequence_modulation,consequence_updates,final_action,outgoing_coupling,stem_coupling,outgoing_resistance,stem_resistance,physical_work,quiescent,zero_silent,zero_updates,zero_modulation,replay_exact,mechanics_exact
0,reference,self_trigger,1|2|3|4,1,1,4,1|1,4|4,true|true,true|true,6|6,15|25,1,33003568546,58123594636,84407816832,159767895102,8674,true,true,0,0,true,true
0,reference,spontaneous,1|2|3|4,1,1,4,1|4,4|1,true|true,true|true,6|6,15|25,1,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
0,replay,self_trigger,1|2|3|4,1,1,4,1|1,4|4,true|true,true|true,6|6,15|25,1,33003568546,58123594636,84407816832,159767895102,8674,true,true,0,0,true,true
0,replay,spontaneous,1|2|3|4,1,1,4,1|4,4|1,true|true,true|true,6|6,15|25,1,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
0,production,self_trigger,1|2|3|4,1,1,4,1|1,4|4,true|true,true|true,6|6,15|25,1,33003568546,58123594636,84407816832,159767895102,8674,true,true,0,0,true,true
0,production,spontaneous,1|2|3|4,1,1,4,1|4,4|1,true|true,true|true,6|6,15|25,1,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
1,reference,self_trigger,2|3|4|1,2,2,4,1|1,4|4,true|true,true|true,6|6,15|25,2,33003568546,58123594636,84407816832,159767895102,8674,true,true,0,0,true,true
1,reference,spontaneous,2|3|4|1,2,2,4,1|3,4|1,true|true,true|true,6|6,15|25,2,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
1,replay,self_trigger,2|3|4|1,2,2,4,1|1,4|4,true|true,true|true,6|6,15|25,2,33003568546,58123594636,84407816832,159767895102,8674,true,true,0,0,true,true
1,replay,spontaneous,2|3|4|1,2,2,4,1|3,4|1,true|true,true|true,6|6,15|25,2,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
1,production,self_trigger,2|3|4|1,2,2,4,1|1,4|4,true|true,true|true,6|6,15|25,2,33003568546,58123594636,84407816832,159767895102,8674,true,true,0,0,true,true
1,production,spontaneous,2|3|4|1,2,2,4,1|3,4|1,true|true,true|true,6|6,15|25,2,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
2,reference,self_trigger,3|4|1|2,4,3,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
2,reference,spontaneous,3|4|1|2,4,3,4,2|3,4|1,true|true,true|true,6|6,15|25,4,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
2,replay,self_trigger,3|4|1|2,4,3,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
2,replay,spontaneous,3|4|1|2,4,3,4,2|3,4|1,true|true,true|true,6|6,15|25,4,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
2,production,self_trigger,3|4|1|2,4,3,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
2,production,spontaneous,3|4|1|2,4,3,4,2|3,4|1,true|true,true|true,6|6,15|25,4,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
3,reference,self_trigger,4|1|2|3,1,4,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
3,reference,spontaneous,4|1|2|3,1,4,4,2|2,4|1,true|true,true|true,6|6,15|25,1,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
3,replay,self_trigger,4|1|2|3,1,4,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
3,replay,spontaneous,4|1|2|3,1,4,4,2|2,4|1,true|true,true|true,6|6,15|25,1,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
3,production,self_trigger,4|1|2|3,1,4,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
3,production,spontaneous,4|1|2|3,1,4,4,2|2,4|1,true|true,true|true,6|6,15|25,1,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
4,reference,self_trigger,4|3|2|1,2,4,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
4,reference,spontaneous,4|3|2|1,2,4,4,3|2,4|1,true|true,true|true,6|6,15|25,2,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
4,replay,self_trigger,4|3|2|1,2,4,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
4,replay,spontaneous,4|3|2|1,2,4,4,3|2,4|1,true|true,true|true,6|6,15|25,2,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
4,production,self_trigger,4|3|2|1,2,4,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
4,production,spontaneous,4|3|2|1,2,4,4,3|2,4|1,true|true,true|true,6|6,15|25,2,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
5,reference,self_trigger,1|4|3|2,3,1,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
5,reference,spontaneous,1|4|3|2,3,1,4,3|1,4|1,true|true,true|true,6|6,15|25,3,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
5,replay,self_trigger,1|4|3|2,3,1,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
5,replay,spontaneous,1|4|3|2,3,1,4,3|1,4|1,true|true,true|true,6|6,15|25,3,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
5,production,self_trigger,1|4|3|2,3,1,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
5,production,spontaneous,1|4|3|2,3,1,4,3|1,4|1,true|true,true|true,6|6,15|25,3,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
6,reference,self_trigger,2|1|4|3,3,2,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
